country,Latitude,Longitude,player_count
Italy,42.6384261,12.674297,1810
Spain,39.3260685,-4.8379791,1733
France,46.603354,1.8883335,1599
England,52.5310214,-1.2649062,1377
Russia,64.6863136,97.7453061,1340
Turkey,38.9597594,34.9249653,1316
Germany,51.1638175,10.4478313,1255
Netherlands,52.2434979,5.6343227,1249
Ukraine,49.4871968,31.2718321,1179
Greece,38.9953683,21.9877132,996
Scotland,56.7861112,-4.1140518,743
Portugal,39.6621648,-8.1353519,741
Belgium,50.6402809,4.6667145,716
Argentina,-34.9964963,-64.9672817,584
Denmark,55.670249,10.3333283,583
Türkiye,38.9597594,34.9249653,502
Serbia,44.024322850000004,21.07657433209902,379
Brazil,-10.3333333,-53.2,339
Croatia,45.3658443,15.6575209,300
Senegal,14.4750607,-14.4529612,294
Nigeria,9.6000359,7.9999721,261
Sweden,59.6749712,14.5208584,254
Morocco,28.3347722,-10.371337908392647,242
Ghana,8.0300284,-1.0800271,228
Ireland,52.865196,-7.9794599,226
Poland,52.215933,19.134422,209
Cote d'Ivoire,7.9897371,-5.5679458,207
Norway,64.5731537,11.52803643954819,185
Uruguay,-32.8755548,-56.0201525,183
Cameroon,4.6125522,13.1535811,180
Colombia,4.099917,-72.9088133,170
Switzerland,46.7985624,8.2319736,164
Austria,47.59397,14.12456,161
United States,39.7837304,-100.445882,160
Bosnia-Herzegovina,44.3053476,17.5961467,155
Romania,45.9852129,24.6859225,153
Algeria,28.0000272,2.9999825,144
Czech Republic,49.7439047,15.3381061,141
Japan,36.5748441,139.2394179,139
Mali,16.3700359,-2.2900239,130
Albania,5.7587654,-73.9151617,128
Australia,-24.7761086,134.755,125
Slovenia,46.1199444,14.8153333,122
Wales,52.2928116,-3.73893,116
DR Congo,-2.9814344,23.8222636,116
Slovakia,48.7411522,19.4528646,106
Northern Ireland,54.5859836,-6.9591554,101
Georgia,32.3293809,-83.1137366,100
Guinea,10.7226226,-10.7083587,97
Tunisia,36.8002068,10.1857757,87
Iceland,64.9841821,-18.1059013,86
Israel,30.8124247,34.8594762,83
Hungary,47.1817585,19.5060937,82
Belarus,53.4250605,27.6971358,81
Finland,63.2467777,25.9209164,80
Venezuela,8.0018709,-66.1109318,74
North Macedonia,41.6171214,21.7168387,72
Montenegro,-29.6826112,-51.4687455,71
Chile,-31.7613365,-71.3187697,71
Bulgaria,42.6073975,25.4856617,70
Kosovo,42.5869578,20.9021231,67
Paraguay,-23.3165935,-58.1693445,60
Curacao,12.1176488,-68.9309263,59
Canada,61.0666922,-107.991707,58
Ecuador,-1.3397668,-79.3666965,53
Mexico,19.4326296,-99.1331785,53
Cape Verde,16.0000552,-24.0083947,51
Congo,-2.9814344,23.8222636,51
Burkina Faso,12.0753083,-1.6880314,49
Armenia,4.536307,-75.6723751,48
Jamaica,18.1850507,-77.3947693,46
Angola,-11.8775768,17.5691241,46
Iran,32.6475314,54.5643516,45
Suriname,4.1413025,-56.0771187,45
"Korea, South",-30.5159999,151.6652595,44
South Africa,-28.8166236,24.991639,43
Guinea-Bissau,11.815215,-15.2351044,42
The Gambia,13.470062,-15.4900464,42
Costa Rica,10.2735633,-84.0739102,42
Peru,-6.8699697,-75.0458515,42
Togo,8.7800265,1.0199765,37
Guadeloupe,16.2528827,-61.5686855,37
Martinique,14.6113732,-60.9620777,36
Moldova,47.2879608,28.5670941,36
Cyprus,34.9174159,32.889902651331866,35
Gabon,-0.8999695,11.6899699,34
Lithuania,55.3500003,23.7499997,32
Comoros,-12.2045176,44.2832964,28
Azerbaijan,40.3936294,47.7872508,28
Haiti,19.1399952,-72.3570972,27
New Zealand,-41.5000831,172.8344077,25
Uzbekistan,41.32373,63.9528098,24
Estonia,58.7523778,25.3319078,24
Zimbabwe,-18.4554963,29.7468414,23
Egypt,26.2540493,29.2675469,23
Luxembourg,49.6112768,6.129799,23
Benin,9.5293472,2.2584408,23
Kazakhstan,48.1012954,66.7780818,22
Honduras,15.2572432,-86.0755145,22
Sierra Leone,8.6400349,-11.8400269,22
Central African Republic,7.0323598,19.9981227,20
Latvia,56.8406494,24.7537645,19
Equatorial Guinea,1.613172,10.5170357,18
Iraq,33.0955793,44.1749775,18
Zambia,-14.5189121,27.5589884,17
Mauritania,20.2540382,-9.2399263,17
Madagascar,-18.9249604,46.4416422,17
Indonesia,-2.4833826,117.8902853,16
Liberia,5.7499721,-9.3658524,15
China,35.0000663,104.999955,15
Panama,8.559559,-81.1308434,14
Saudi Arabia,25.6242618,42.3528328,13
Uganda,1.5333554,32.2166578,13
Philippines,12.7503486,122.7312101,12
Faroe Islands,62.0448724,-7.0322972,11
Bolivia,-17.0568696,-64.9912286,11
Trinidad and Tobago,10.7466905,-61.0840075,11
Dominican Republic,19.0974031,-70.3028026,11
Kenya,1.4419683,38.4313975,11
Burundi,-3.426449,29.9324519,10
Niger,17.7356214,9.3238432,9
French Guiana,4.0039882,-52.999998,8
Thailand,14.8971921,100.83273,8
Grenada,12.1360374,-61.6904045,7
Mozambique,-19.302233,34.9144977,7
El Salvador,13.8000382,-88.9140683,7
Montserrat,16.7417041,-62.1916844,6
Rwanda,-1.9646631,30.0644358,6
Tajikistan,38.6281733,70.8156541,6
Aruba,12.5013629,-69.9618475,6
Malta,35.8885993,14.4476911,6
Palestine,31.7621153,-95.6307891,5
Qatar,25.3336984,51.2295295,5
Lebanon,40.375713,-76.4626118,5
Syria,34.8147886,38.42317811509885,5
Antigua and Barbuda,17.2234721,-61.9554608,5
Chad,15.6134137,19.0156172,4
St. Kitts & Nevis,17.250512,-62.6725973,4
Malaysia,4.5693754,102.2656823,4
Tanzania,-6.5247123,35.7878438,4
Guyana,4.8417097,-58.6416891,4
Barbados,13.1500331,-59.5250305,4
Liechtenstein,47.1416307,9.5531527,3
St. Lucia,13.8250489,-60.975036,3
Afghanistan,33.7680065,66.2385139,3
Ethiopia,10.2116702,38.6521203,3
Sao Tome and Principe,0.9713095,7.02255,3
Jordan,44.6663146,-93.6261918,3
Libya,26.8234472,18.1236723,3
Bonaire,12.167,-68.28764385602938,2
Bermuda,32.3040273,-64.7563086,2
Neukaledonien,-20.63784275,161.21176261225781,2
Pakistan,30.3308401,71.247499,2
Vietnam,15.9266657,107.9650855,2
Guatemala,15.5855545,-90.345759,2
Chinese Taipei,31.5205043,74.35201295,2
Malawi,-13.2687204,33.9301963,2
Saint-Martin,18.0814066,-63.0467131,2
Eritrea,15.9500319,37.9999668,2
San Marino,43.9458623,12.458306,1
"Korea, North",41.69817,-83.4789435,1
Brunei Darussalam,4.4137155,114.5653908,1
Somalia,8.3676771,49.083416,1
Sint Maarten,18.0423736,-63.0549948,1
Bahrain,26.030093,50.553336789123236,1
Andorra,42.5407167,1.5732033,1
Singapore,1.357107,103.8194992,1
Monaco,43.7323492,7.4276832,1
Nicaragua,12.6090157,-85.2936911,1
India,22.3511148,78.6677428,1
Macao,22.1757605,113.5514142,1
Papua New Guinea,-5.6816069,144.2489081,1
Kyrgyzstan,41.5089324,74.724091,1
Mauritius,-20.2759451,57.5703566,1
Laos,20.0171109,103.378253,1
Cuba,23.0131338,-80.8328748,1
United Arab Emirates,24.0002488,53.9994829,1
Turkmenistan,39.3763807,59.3924609,1
Seychelles,-4.6574977,55.4540146,1
Tahiti,-17.68734395,-149.44516811423745,1
Réunion,-21.130737949999997,55.536480112992315,1
Oman,21.0000287,57.0036901,1
Southern Sudan,-1.2931598,36.8074459,1
