city,Latitude,Longitude,player_count
London,51.4893335,-0.14405508452768728,320
Manchester,53.4794892,-2.2451148,60
Liverpool,53.4071991,-2.99168,54
Birmingham,52.4796992,-1.9026911,45
Sheffield,53.3806626,-1.4702278,20
Nottingham,52.9534193,-1.1496461,16
Stockport,53.407901,-2.160243,12
Leeds,53.7974185,-1.5437941,12
Wolverhampton,52.5847651,-2.127567,12
Middlesbrough,54.5760419,-1.2344047,12
Luton,51.89107295,-0.4230304076201782,12
Preston,53.7593363,-2.6992717,11
Bristol,51.4538022,-2.5972985,11
Warrington,53.4018582,-2.5680223597163048,11
Watford,51.6553875,-0.3957425,9
Newcastle upon Tyne,54.9738474,-1.6131572,9
Oxford,51.7520131,-1.2578499,9
Newcastle,54.9738474,-1.6131572,9
Brighton,50.8214626,-0.1400561,9
Harlow,51.7685568,0.0949036,9
Sunderland,54.9058512,-1.3828727,9
Birkenhead,53.3895177,-3.0248007,8
Reading,51.4564242,-0.9700664,8
Bradford,53.7944229,-1.7519186,8
York,53.96565785,-1.0743052444639218,8
Exeter,50.7256138,-3.5269209,8
Hemel Hempstead,51.7511784,-0.472528,8
Leicester,52.6362,-1.1331969,8
Bolton,53.5782863,-2.4300367,8
Derby,52.9142235,-1.4719885461266053,7
Stoke-on-Trent,53.0162014,-2.1812607,7
Huddersfield,53.6466645,-1.7822482,7
Durham,54.666667,-1.75,7
Solihull,52.4130189,-1.7768935,7
Oldham,35.3907651,-102.6193428,7
South Shields,54.9987414,-1.4321848,7
Gateshead,54.9625789,-1.6019294,6
Portsmouth,50.800031,-1.0906023,6
Bath,51.3813864,-2.3596963,6
Chester,53.1908873,-2.8908955,6
Bury,49.3132772,2.3439338,6
Ipswich,52.0579324,1.1528095,6
Coventry,52.4081812,-1.510477,6
Huyton,53.4114462,-2.8382486,6
Cambridge,52.2055314,0.1186637,6
Stevenage,51.9016663,-0.2027155,5
Southampton,50.9025349,-1.404189,5
Redhill,51.2404691,-0.1682816,5
Burnley,53.7907262,-2.2439196,5
Blackpool,53.8179442,-3.0509812,5
